,date,open,high,low,close,Adj Close,volume
1060,2004-11-12,1173.25,1184.75,1171.75,1182.75,1182.75,676262
1061,2004-11-15,1183.0,1186.0,1180.5,1186.0,1186.0,625695
1062,2004-11-16,1185.25,1185.75,1175.75,1177.5,1177.5,658437
1063,2004-11-17,1177.5,1189.75,1177.25,1184.25,1184.25,831375
1064,2004-11-18,1184.0,1186.25,1180.5,1185.0,1185.0,527776
1065,2004-11-19,1185.0,1185.75,1169.25,1172.25,1172.25,723841
1066,2004-11-22,1172.0,1179.0,1166.5,1178.0,1178.0,531349
1067,2004-11-23,1178.0,1180.5,1171.5,1179.25,1179.25,635022
1068,2004-11-24,1178.75,1183.25,1178.0,1182.0,1182.0,635022
1069,2004-11-25,1182.0,1186.5,1180.75,1186.25,1186.25,428298
1070,2004-11-29,1180.5,1191.25,1172.25,1176.0,1176.0,812904
1071,2004-11-30,1176.5,1179.5,1173.0,1174.0,1174.0,687321
1072,2004-12-01,1177.25,1192.25,1175.0,1189.75,1189.75,707865
1073,2004-12-02,1189.5,1195.75,1187.0,1190.5,1190.5,716558
1074,2004-12-03,1193.75,1198.5,1185.75,1189.25,1189.25,827492
1075,2004-12-06,1189.25,1193.25,1185.25,1189.25,1189.25,456185
1076,2004-12-07,1189.25,1193.5,1177.0,1177.75,1177.75,802914
1077,2004-12-08,1177.25,1184.75,1176.0,1184.0,1184.0,691265
1078,2004-12-09,1183.5,1191.5,1173.5,1188.5,1188.5,321642
1079,2004-12-10,1188.5,1192.0,1184.75,1189.75,1189.75,233892
1080,2004-12-13,1189.5,1200.5,1189.5,1200.25,1200.25,91346
1081,2004-12-14,1199.75,1205.75,1197.0,1204.0,1204.0,122640
1082,2004-12-15,1204.25,1207.0,1199.0,1204.75,1204.75,53339
1083,2004-12-16,1204.75,1208.25,1198.0,1204.25,1204.25,56442
1084,2004-12-17,1203.5,1206.75,1193.5,1190.449951171875,1190.449951171875,821953
1085,2004-12-20,1197.5,1206.75,1195.25,1198.75,1198.75,494262
1086,2004-12-21,1198.5,1208.5,1197.25,1208.0,1208.0,451956
1087,2004-12-22,1207.25,1214.25,1206.75,1211.0,1211.0,401650
1088,2004-12-23,1210.75,1216.5,1209.0,1211.75,1211.75,268933
1089,2004-12-27,1212.25,1217.0,1207.25,1208.5,1208.5,297065
1090,2004-12-28,1208.5,1216.75,1207.75,1215.5,1215.5,251113
1091,2004-12-29,1215.5,1217.25,1212.75,1217.0,1217.0,210237
1092,2004-12-30,1216.75,1219.0,1213.5,1214.75,1214.75,210317
